number,value,datetime_start,datetime_complete,duration,params_cycles,params_label_smoothing,params_lr,params_mc_cycles,params_mc_threshold,params_reconstruct_weight,state
75,0.8601162792936967,2026-06-15 23:39:31.811143,2026-06-15 23:39:34.981173,0 days 00:00:03.170030,56,0.24539329733139942,0.0064203822091162726,23,0.5582547932939214,0.2685230816509073,COMPLETE
76,0.850809902809494,2026-06-15 23:39:34.981859,2026-06-15 23:39:36.850403,0 days 00:00:01.868544,53,0.20231447058005528,0.00533598488836588,26,0.5247734656771731,0.3165483575944484,COMPLETE
77,0.8128605361384459,2026-06-15 23:39:36.851034,2026-06-15 23:39:39.480469,0 days 00:00:02.629435,69,0.21245046167723913,0.008447882623102951,21,0.8485227544389591,0.32896129567527926,COMPLETE
78,0.855433503126577,2026-06-15 23:39:39.481025,2026-06-15 23:39:41.739255,0 days 00:00:02.258230,64,0.07215781722041034,0.009994744207394447,22,0.578778098907988,0.2841009084773259,COMPLETE
79,0.8608152816022832,2026-06-15 23:39:41.739854,2026-06-15 23:39:44.033198,0 days 00:00:02.293344,60,0.22195341225625578,0.004654948094320905,20,0.6380997881151169,0.30225701127468024,COMPLETE
80,0.8763455666315212,2026-06-15 23:39:44.033922,2026-06-15 23:39:46.003807,0 days 00:00:01.969885,52,0.16369619152356668,0.0032544716701542937,24,0.6218427239525507,0.25849666161387097,COMPLETE
81,0.871845228309966,2026-06-15 23:39:46.004359,2026-06-15 23:39:47.817239,0 days 00:00:01.812880,52,0.16345574915248856,0.00334480467838066,24,0.6235179797133871,0.2386203224083584,COMPLETE
82,0.8605167786660066,2026-06-15 23:39:47.817870,2026-06-15 23:39:49.767620,0 days 00:00:01.949750,53,0.13005695923567945,0.003295311604327797,24,0.6237019796020808,0.2402163396894903,COMPLETE
83,0.8562881846119608,2026-06-15 23:39:49.768344,2026-06-15 23:39:52.128320,0 days 00:00:02.359976,61,0.1681046874718485,0.002190413127301886,26,0.6789001394002243,0.226311824405041,COMPLETE
84,0.8551555987863875,2026-06-15 23:39:52.129052,2026-06-15 23:39:54.691450,0 days 00:00:02.562398,69,0.15960406762168022,0.0026967662795363686,24,0.6105099175586295,0.27963572286324584,COMPLETE
85,0.8620211968752971,2026-06-15 23:39:54.692071,2026-06-15 23:39:56.750980,0 days 00:00:02.058909,54,0.18656158393310593,0.004056390089301927,23,0.6480947038431727,0.2594661707671677,COMPLETE
86,0.8630764588453429,2026-06-15 23:39:56.751757,2026-06-15 23:39:59.088360,0 days 00:00:02.336603,58,0.08858432616040372,0.0019430626405137449,25,0.5961834904862132,0.21486265781216235,COMPLETE
87,0.864664426459398,2026-06-15 23:39:59.089194,2026-06-15 23:40:01.486595,0 days 00:00:02.397401,65,0.20595958696053907,0.0017443311676064476,22,0.5848922083400079,0.24602875183900938,COMPLETE
88,0.8359615612494604,2026-06-15 23:40:01.487259,2026-06-15 23:40:08.180494,0 days 00:00:06.693235,194,0.15096635188928476,0.0017158357229843583,21,0.628396547426171,0.23369866991100025,COMPLETE
89,0.8078302196399703,2026-06-15 23:40:08.181151,2026-06-15 23:40:10.771728,0 days 00:00:02.590577,65,0.20562409836202106,0.0007574637764595047,22,0.5886597302015777,0.24737198810750488,COMPLETE
90,0.8486800642634441,2026-06-15 23:40:10.772531,2026-06-15 23:40:12.974889,0 days 00:00:02.202358,53,0.18492718564037428,0.0024990097931706233,28,0.607779800948427,0.1843096997090526,COMPLETE
91,0.8652929132818176,2026-06-15 23:40:12.975558,2026-06-15 23:40:15.639069,0 days 00:00:02.663511,73,0.17506781389790152,0.0014369134004045224,23,0.5751885546556347,0.2582662763655716,COMPLETE
92,0.86045191316912,2026-06-15 23:40:15.639686,2026-06-15 23:40:18.512220,0 days 00:00:02.872534,72,0.1573808816179742,0.0012625278804118136,23,0.5762847280579211,0.2719110528224013,COMPLETE
93,0.8415391959634618,2026-06-15 23:40:18.512984,2026-06-15 23:40:21.757468,0 days 00:00:03.244484,77,0.19415366099893827,0.0032565895058017484,22,0.5632489541558501,0.2556294166142291,COMPLETE
94,0.8646215842905094,2026-06-15 23:40:21.758291,2026-06-15 23:40:24.550276,0 days 00:00:02.791985,62,0.1737731611890833,0.0013648896003637372,24,0.5971949737569185,0.28618080240528326,COMPLETE
95,0.8587205945044336,2026-06-15 23:40:24.550963,2026-06-15 23:40:26.864781,0 days 00:00:02.313818,57,0.13402634995356882,0.001463199161933824,24,0.6187402161566959,0.2616078354326781,COMPLETE
96,0.863829197612854,2026-06-15 23:40:26.865510,2026-06-15 23:40:29.466363,0 days 00:00:02.600853,68,0.16092239883406023,0.0009372888583121932,25,0.5478617040565373,0.23665481283388934,COMPLETE
97,0.8718755881942841,2026-06-15 23:40:29.467109,2026-06-15 23:40:31.841440,0 days 00:00:02.374331,65,0.14214981438215152,0.00603861173531307,21,0.6421651048585785,0.21767146876626997,COMPLETE
98,0.8686507213544141,2026-06-15 23:40:31.841998,2026-06-15 23:40:34.375299,0 days 00:00:02.533301,53,0.14280507934831146,0.005984419453311296,21,0.6515573157899474,0.21747791204350717,COMPLETE
99,0.8563448310124935,2026-06-15 23:40:34.375915,2026-06-15 23:40:36.380157,0 days 00:00:02.004242,50,0.121472611568461,0.006747966917784403,21,0.6572882132760076,0.21552150163683625,COMPLETE
